city,capital_city,state,group,cpi_group,annual_change,annual_cpi,period,source_table,group_full,group_order,national_annual_change,city_minus_national
Hobart,Hobart,TAS,Health,Health,2.6,2.6,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,-0.43999999999999995
Darwin,Darwin,NT,Health,Health,0.4,0.4,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,-2.64
Canberra,Canberra,ACT,Health,Health,3.3,3.3,2026-03-01 00:00:00,ABS CPI Table 11,Health,7,3.04,0.2599999999999998
Sydney,Sydney,NSW,Transport,Transport,7.3,7.3,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,-1.6000000000000005
Melbourne,Melbourne,VIC,Transport,Transport,9.8,9.8,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,0.9000000000000004
Brisbane,Brisbane,QLD,Transport,Transport,8.8,8.8,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,-0.09999999999999964
Adelaide,Adelaide,SA,Transport,Transport,10.9,10.9,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,2.0
Perth,Perth,WA,Transport,Transport,10.4,10.4,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,1.5
Hobart,Hobart,TAS,Transport,Transport,9.6,9.6,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,0.6999999999999993
Darwin,Darwin,NT,Transport,Transport,8.5,8.5,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,-0.40000000000000036
Canberra,Canberra,ACT,Transport,Transport,7.3,7.3,2026-03-01 00:00:00,ABS CPI Table 11,Transport,8,8.9,-1.6000000000000005
Sydney,Sydney,NSW,Communication,Communication,1.5,1.5,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,0.09000000000000008
Melbourne,Melbourne,VIC,Communication,Communication,1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,-0.010000000000000009
Brisbane,Brisbane,QLD,Communication,Communication,1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,-0.010000000000000009
Adelaide,Adelaide,SA,Communication,Communication,1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,-0.010000000000000009
Perth,Perth,WA,Communication,Communication,1.3,1.3,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,-0.10999999999999988
Hobart,Hobart,TAS,Communication,Communication,1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,-0.010000000000000009
Darwin,Darwin,NT,Communication,Communication,1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,-0.010000000000000009
Canberra,Canberra,ACT,Communication,Communication,1.6,1.6,2026-03-01 00:00:00,ABS CPI Table 11,Communication,9,1.41,0.19000000000000017
Sydney,Sydney,NSW,Recreation and culture,Recreation and culture,3.1,3.1,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,0.26000000000000023
Melbourne,Melbourne,VIC,Recreation and culture,Recreation and culture,2.2,2.2,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,-0.6399999999999997
Brisbane,Brisbane,QLD,Recreation and culture,Recreation and culture,2.5,2.5,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,-0.33999999999999986
Adelaide,Adelaide,SA,Recreation and culture,Recreation and culture,2.7,2.7,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,-0.13999999999999968
Perth,Perth,WA,Recreation and culture,Recreation and culture,4.0,4.0,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,1.1600000000000001
Hobart,Hobart,TAS,Recreation and culture,Recreation and culture,3.6,3.6,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,0.7600000000000002
Darwin,Darwin,NT,Recreation and culture,Recreation and culture,3.6,3.6,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,0.7600000000000002
Canberra,Canberra,ACT,Recreation and culture,Recreation and culture,3.0,3.0,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture,10,2.84,0.16000000000000014
Sydney,Sydney,NSW,Education,Education,4.7,4.7,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,-0.08999999999999986
Melbourne,Melbourne,VIC,Education,Education,4.8,4.8,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,0.009999999999999787
Brisbane,Brisbane,QLD,Education,Education,4.8,4.8,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,0.009999999999999787
Adelaide,Adelaide,SA,Education,Education,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,-0.5899999999999999
Perth,Perth,WA,Education,Education,5.3,5.3,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,0.5099999999999998
Hobart,Hobart,TAS,Education,Education,3.8,3.8,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,-0.9900000000000002
Darwin,Darwin,NT,Education,Education,3.4,3.4,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,-1.3900000000000001
Canberra,Canberra,ACT,Education,Education,5.9,5.9,2026-03-01 00:00:00,ABS CPI Table 11,Education,11,4.79,1.1100000000000003
Sydney,Sydney,NSW,Insurance and financial services,Insurance and financial services,3.2,3.2,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,0.3700000000000001
Melbourne,Melbourne,VIC,Insurance and financial services,Insurance and financial services,3.6,3.6,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,0.77
Brisbane,Brisbane,QLD,Insurance and financial services,Insurance and financial services,1.9,1.9,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,-0.9300000000000002
Adelaide,Adelaide,SA,Insurance and financial services,Insurance and financial services,4.1,4.1,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,1.2699999999999996
Perth,Perth,WA,Insurance and financial services,Insurance and financial services,0.3,0.3,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,-2.5300000000000002
Hobart,Hobart,TAS,Insurance and financial services,Insurance and financial services,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,1.37
Darwin,Darwin,NT,Insurance and financial services,Insurance and financial services,2.9,2.9,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,0.06999999999999984
Canberra,Canberra,ACT,Insurance and financial services,Insurance and financial services,1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services,12,2.83,-1.4300000000000002
