group,group_full,annual_change,monthly_change,category_type,group_order,rank_by_pressure,dot,x,y,global_y,dot_value_pp
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,66,11,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,67,12,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,68,13,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,69,14,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,70,15,3,9,0.1
Clothing & footwear,Clothing and footwear,7.12,-1.92,discretionary,4,2,71,16,3,9,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,1,0,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,2,1,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,3,2,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,4,3,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,5,4,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,6,5,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,7,6,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,8,7,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,9,8,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,10,9,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,11,10,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,12,11,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,13,12,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,14,13,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,15,14,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,16,15,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,17,16,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,18,17,0,12,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,19,0,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,20,1,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,21,2,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,22,3,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,23,4,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,24,5,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,25,6,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,26,7,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,27,8,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,28,9,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,29,10,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,30,11,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,31,12,1,13,0.1
Housing,Housing,6.51,0.23,essential/regulated,5,3,32,13,1,13,0.1
