city,capital_city,state,group,cpi_group,annual_change,annual_cpi,period,source_table,group_full
Sydney,Sydney,NSW,Recreation and culture,Recreation and culture,3.1,3.1,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Melbourne,Melbourne,VIC,Recreation and culture,Recreation and culture,2.2,2.2,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Brisbane,Brisbane,QLD,Recreation and culture,Recreation and culture,2.5,2.5,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Adelaide,Adelaide,SA,Recreation and culture,Recreation and culture,2.7,2.7,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Perth,Perth,WA,Recreation and culture,Recreation and culture,4.0,4.0,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Hobart,Hobart,TAS,Recreation and culture,Recreation and culture,3.6,3.6,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Darwin,Darwin,NT,Recreation and culture,Recreation and culture,3.6,3.6,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Canberra,Canberra,ACT,Recreation and culture,Recreation and culture,3.0,3.0,2026-03-01 00:00:00,ABS CPI Table 11,Recreation and culture
Sydney,Sydney,NSW,Education,Education,4.7,4.7,2026-03-01 00:00:00,ABS CPI Table 11,Education
Melbourne,Melbourne,VIC,Education,Education,4.8,4.8,2026-03-01 00:00:00,ABS CPI Table 11,Education
Brisbane,Brisbane,QLD,Education,Education,4.8,4.8,2026-03-01 00:00:00,ABS CPI Table 11,Education
Adelaide,Adelaide,SA,Education,Education,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,Education
Perth,Perth,WA,Education,Education,5.3,5.3,2026-03-01 00:00:00,ABS CPI Table 11,Education
Hobart,Hobart,TAS,Education,Education,3.8,3.8,2026-03-01 00:00:00,ABS CPI Table 11,Education
Darwin,Darwin,NT,Education,Education,3.4,3.4,2026-03-01 00:00:00,ABS CPI Table 11,Education
Canberra,Canberra,ACT,Education,Education,5.9,5.9,2026-03-01 00:00:00,ABS CPI Table 11,Education
Sydney,Sydney,NSW,Insurance and financial services,Insurance and financial services,3.2,3.2,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
Melbourne,Melbourne,VIC,Insurance and financial services,Insurance and financial services,3.6,3.6,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
Brisbane,Brisbane,QLD,Insurance and financial services,Insurance and financial services,1.9,1.9,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
Adelaide,Adelaide,SA,Insurance and financial services,Insurance and financial services,4.1,4.1,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
Perth,Perth,WA,Insurance and financial services,Insurance and financial services,0.3,0.3,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
Hobart,Hobart,TAS,Insurance and financial services,Insurance and financial services,4.2,4.2,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
Darwin,Darwin,NT,Insurance and financial services,Insurance and financial services,2.9,2.9,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
Canberra,Canberra,ACT,Insurance and financial services,Insurance and financial services,1.4,1.4,2026-03-01 00:00:00,ABS CPI Table 11,Insurance and financial services
